targeting_type,type
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Sports Cars
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Sports Cars > Sports Cars (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Sports Cars > Sports Cars (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Station Wagons
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Station Wagons > Station Wagons (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Station Wagons > Station Wagons (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Vans & Minivans
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Vans & Minivans > Vans & Minivans (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Vans & Minivans > Vans & Minivans (Used)
In-Market Audiences,Autos & Vehicles > Vehicles (Other)
In-Market Audiences,Autos & Vehicles > Vehicles (Other) > Bicycles & Accessories
In-Market Audiences,Autos & Vehicles > Vehicles (Other) > Boats & Watercraft
In-Market Audiences,Autos & Vehicles > Vehicles (Other) > Campers & RVs
In-Market Audiences,Autos & Vehicles > Vehicles (Other) > Commercial Vehicles
In-Market Audiences,Baby & Children's Products
In-Market Audiences,Baby & Children's Products > Baby & Children's Apparel
In-Market Audiences,Baby & Children's Products > Baby & Children's Apparel > Baby & Toddler Apparel
In-Market Audiences,Baby & Children's Products > Baby & Children's Apparel > Children's Apparel
In-Market Audiences,Baby & Children's Products > Child Car Seats
In-Market Audiences,Baby & Children's Products > Childcare & Education
In-Market Audiences,Baby & Children's Products > Childcare & Education > Childcare
In-Market Audiences,Baby & Children's Products > Childcare & Education > Early Childhood Education
In-Market Audiences,Baby & Children's Products > Diapers & Baby Hygiene Products
In-Market Audiences,Baby & Children's Products > Infant & Toddler Feeding
In-Market Audiences,Baby & Children's Products > Infant & Toddler Feeding > Infant Feeding Supplies
In-Market Audiences,Baby & Children's Products > Infant & Toddler Feeding > Toddler Meals
In-Market Audiences,Baby & Children's Products > Strollers & Baby Carriages
In-Market Audiences,Baby & Children's Products > Toys & Games
In-Market Audiences,Beauty Products & Services
In-Market Audiences,Beauty Products & Services > Bath & Body Products
In-Market Audiences,Beauty Products & Services > Bath & Body Products > Body Lotion & Moisturizers
In-Market Audiences,Beauty Products & Services > Hair Care Products
In-Market Audiences,Beauty Products & Services > Hair Care Products > Hair Color Products
In-Market Audiences,Beauty Products & Services > Hair Care Products > Shampoo & Conditioners
In-Market Audiences,Beauty Products & Services > Makeup & Cosmetics
In-Market Audiences,Beauty Products & Services > Makeup & Cosmetics > Eye Makeup
In-Market Audiences,Beauty Products & Services > Makeup & Cosmetics > Face Makeup
In-Market Audiences,Beauty Products & Services > Makeup & Cosmetics > Lip Makeup
In-Market Audiences,Beauty Products & Services > Makeup & Cosmetics > Nail Care Products
In-Market Audiences,Beauty Products & Services > Perfumes & Fragrances
In-Market Audiences,Beauty Products & Services > Skin Care Products
In-Market Audiences,Beauty Products & Services > Skin Care Products > Anti-Aging Skin Care Products
In-Market Audiences,Beauty Products & Services > Skin Care Products > Face Lotions & Moisturizers
In-Market Audiences,Beauty Products & Services > Skin Care Products > Facial Cleansers & Makeup Removers
In-Market Audiences,Beauty Products & Services > Spas & Beauty Services
In-Market Audiences,Beauty Products & Services > Spas & Beauty Services > Manicures & Pedicures
In-Market Audiences,Beauty Products & Services > Tanning & Sun Care Products
In-Market Audiences,Business & Industrial Products
In-Market Audiences,Business & Industrial Products > Food Service Equipment
In-Market Audiences,Business & Industrial Products > Material Handling Equipment
In-Market Audiences,Business & Industrial Products > Signage
In-Market Audiences,Business & Industrial Products > Work Safety Protective Gear
In-Market Audiences,Business Services
In-Market Audiences,Business Services > Advertising & Marketing Services
In-Market Audiences,Business Services > Advertising & Marketing Services > Email Marketing Services
In-Market Audiences,Business Services > Advertising & Marketing Services > SEO & SEM Services
In-Market Audiences,Business Services > Business Financial Services
In-Market Audiences,Business Services > Business Printing & Document Services
In-Market Audiences,Business Services > Business Technology
In-Market Audiences,Business Services > Business Technology > Enterprise Software
In-Market Audiences,Business Services > Business Technology > Enterprise Software > CRM Solutions
In-Market Audiences,Business Services > Business Technology > Enterprise Software > Collaboration & Conferencing Tools
In-Market Audiences,Business Services > Business Technology > Enterprise Software > ERP Solutions
In-Market Audiences,Business Services > Business Technology > Enterprise Software > Helpdesk & Customer Support Solutions
In-Market Audiences,Business Services > Business Technology > Network Systems & Services
In-Market Audiences,Business Services > Business Technology > Network Systems & Services > Hosted Data & Cloud Storage
In-Market Audiences,Business Services > Business Technology > Network Systems & Services > Network & Enterprise Security
In-Market Audiences,Business Services > Business Technology > Network Systems & Services > Network Equipment & Virtualization
In-Market Audiences,Business Services > Business Technology > Network Systems & Services > Network Management
In-Market Audiences,Business Services > Business Technology > Web Services
In-Market Audiences,Business Services > Business Technology > Web Services > Domain Registration
In-Market Audiences,Business Services > Business Technology > Web Services > Web Design & Development
In-Market Audiences,Business Services > Business Technology > Web Services > Web Hosting
In-Market Audiences,Business Services > Corporate Event Planning
In-Market Audiences,Business Services > Office Supplies
In-Market Audiences,Business Services > Office Supplies > Office Furniture
In-Market Audiences,Business Services > Payment Processing & Merchant Services
